Frame,Shuttle_X_cm,Shuttle_Y_cm,Event,Striking_Player
1,,,,
2,,,,
3,,,,
4,129,-456,,
5,,,,
6,105,-412,,
7,110,-386,Hit,
8,116,-312,,
9,279,88,,
10,263,-19,Hit,
11,263,-19,,
12,251,-101,,
13,237,-225,,
14,231,-288,,
15,220,-386,,
16,210,-386,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,168,106,,
25,,,,
26,169,-248,Hit,
27,163,-203,Hit,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,114,-456,Hit,
34,221,-412,Hit,
35,,,,
36,247,-566,Hit,Player 6
37,272,-673,,
38,298,-735,,
39,318,-799,,
40,345,-821,,
41,338,-854,Hit,
42,367,-922,Hit,
43,390,-888,Hit,
44,,,,
45,431,-854,,
46,449,-821,,
47,452,-888,Hit,
48,467,-821,Hit,
49,480,-735,,
50,494,-643,,
51,502,-566,,
52,511,-456,,
53,519,-537,Hit,Player 2
54,520,-386,,
55,524,-272,,
56,530,-158,,
57,536,-60,,
58,534,51,Hit,
59,534,51,,
60,532,154,,
61,532,265,,
62,,,,
63,574,-312,Hit,
64,604,-643,,
65,604,-643,,
66,,,,
67,644,-1210,,
68,657,-1409,,
69,681,-1678,,
70,699,-1890,,
71,699,-1890,,
72,704,-1947,,
73,728,-2228,,
74,728,-2293,,
75,734,-2359,,
76,735,-2405,,
77,735,-2405,,
78,,,,
79,,,,
80,725,-2359,,
81,725,-2293,,
82,709,-2165,,
83,709,-2165,,
84,709,-2104,,
85,681,-1890,Hit,
86,,,,
87,562,-2694,Hit,
88,588,-767,Hit,Player 2
89,,,,
90,,,,
91,,,,
92,598,-643,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,23,-456,,
125,19,-456,,
126,28,-438,,
127,33,-438,,
128,35,-412,,
129,42,-386,,
130,44,-361,,
131,44,-361,,
132,,,,
133,68,-510,,
134,75,-623,,
135,87,-643,,
136,102,-673,,
137,100,-643,Hit,Player 5
138,119,-643,,
139,127,-735,,
140,137,-704,Hit,Player 4
141,146,-623,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,,,,
167,308,-922,,
168,314,-888,Hit,
169,,,,
170,,,,
171,,,,
172,356,-60,,
173,,,,
174,358,-39,,
175,182,51,Hit,
176,170,154,,
177,158,281,,
178,147,367,,
179,,,,
180,112,51,Hit,
181,75,-203,,
182,44,-412,,
183,26,-566,,
184,5,-704,,
185,5,-704,,
186,-9,-799,,
187,,,,
188,-41,-993,,
189,-47,-993,,
190,-54,-1030,,
191,-51,-993,Hit,
192,-57,-993,Hit,
193,,,,
194,-47,-704,Hit,Player 4
195,-46,-566,,
196,-46,-412,,
197,,,,
198,-41,-288,,
199,-31,-158,,
200,-29,-60,,
201,-24,51,,
202,-19,154,,
203,,,,
204,-12,265,,
205,35,124,Hit,
206,,,,
207,,,,
208,,,,
209,,,,
210,,,,
211,,,,
212,,,,
213,,,,
214,,,,
215,,,,
216,,,,
217,,,,
218,,,,
219,,,,
220,,,,
221,,,,
222,,,,
223,,,,
224,,,,
225,,,,
226,,,,
227,,,,
228,,,,
229,,,,
230,,,,
231,,,,
232,,,,
233,,,,
234,,,,
235,,,,
236,,,,
237,582,32,,
238,575,136,Hit,
239,577,124,Hit,
240,573,238,Hit,Player 1
241,567,327,,
242,561,425,,
243,555,514,,
244,562,488,Hit,
245,,,,
246,574,312,,
247,586,205,,
248,592,124,,
249,608,12,,
250,618,-101,,
251,621,-101,,
252,624,-180,,
253,620,-180,Hit,
254,623,-203,,
255,626,-248,,
256,626,-248,,
257,620,-225,,
258,620,-248,Hit,
259,616,-248,,
260,614,-225,,
261,611,-203,,
262,607,-158,,
263,609,-180,Hit,
